INC-0005,14:15:18,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 59% confidence.
INC-0006,14:19:01,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 76% confidence.
INC-0001,14:27:16,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 54% confidence.
INC-0002,14:27:29,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 60% confidence.
INC-0003,14:27:42,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 50% confidence.
INC-0004,14:27:54,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 63% confidence.
INC-0005,14:28:04,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 51% confidence.
INC-0001,15:00:05,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 58% confidence.
INC-0002,15:01:05,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 77% confidence.
INC-0003,15:01:08,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 61% confidence.
INC-0004,15:01:14,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 65% confidence.
INC-0005,15:02:10,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 60% confidence.
INC-0001,15:46:09,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 59% confidence.
INC-0002,15:46:42,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 51% confidence.
INC-0003,15:47:42,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 60% confidence.
INC-0004,15:48:12,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 50% confidence.
INC-0005,15:50:34,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 41% confidence.
INC-0001,15:43:11,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 79% confidence.
INC-0002,15:43:17,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 45% confidence.
INC-0003,15:43:24,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 51% confidence.
INC-0004,15:44:47,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 48% confidence.
INC-0005,15:45:47,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 52% confidence.
INC-0001,16:16:02,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 67% confidence.
INC-0002,16:16:59,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 53% confidence.
INC-0003,16:17:45,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 49% confidence.
INC-0004,16:18:04,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 75% confidence.
INC-0005,16:21:10,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 41% confidence.
INC-0001,16:31:35,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 51% confidence.
INC-0002,16:32:56,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 42% confidence.
INC-0003,16:33:26,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 82% confidence.
INC-0004,16:33:41,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 49% confidence.
INC-0005,16:34:11,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 48% confidence.
INC-0006,16:35:45,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 49% confidence.
INC-0007,16:37:17,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 47% confidence.
INC-0008,16:37:46,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 56% confidence.
INC-0009,17:53:44,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 67% confidence.
INC-0001,12:50:11,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 49% confidence.
INC-0002,12:50:26,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 49% confidence.
INC-0003,12:50:34,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 59% confidence.
INC-0004,12:51:39,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 48% confidence.
INC-0005,12:51:54,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 53% confidence.
INC-0006,12:52:07,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 60% confidence.
INC-0007,13:08:16,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 57% confidence.
INC-0001,13:08:49,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 69% confidence.
INC-0002,13:08:57,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 68% confidence.
INC-0003,13:09:14,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 61% confidence.
INC-0004,13:09:46,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 50% confidence.
INC-0005,13:15:37,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 47% confidence.
INC-0006,13:18:38,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 69% confidence.
INC-0001,14:19:36,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 58% confidence.
INC-0001,16:01:34,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 69% confidence.
INC-0002,16:02:56,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 64% confidence.
INC-0003,16:03:20,Storage Area,CRITICAL,AI detected a critical-risk pattern in Storage Area with 76% confidence.
INC-0004,16:03:27,Conveyor Zone,CRITICAL,AI detected a critical-risk pattern in Conveyor Zone with 47% confidence.
INC-0005,16:03:56,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 59% confidence.
INC-0006,16:31:34,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 32% confidence.
INC-0007,16:32:03,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 44% confidence.
INC-0001,20:55:10,Processing Area,CRITICAL,AI detected a critical-risk pattern in Processing Area with 73% confidence.
INC-0002,20:56:35,South Pit,CRITICAL,AI detected a critical-risk pattern in South Pit with 49% confidence.
INC-0003,20:59:07,North Pit,CRITICAL,AI detected a critical-risk pattern in North Pit with 81% confidence.
